id,title,artist,year,genre,style,sample
37,Face-Off (L.S. Darko),Flatbush Zombies,2012,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
38,Final Form,Sampa the Great,2019,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
39,Jazz (We've Got) (Re-Recording),A Tribe Called Quest,1991,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
40,Good Life,Pete Rock & C.L. Smooth,1991,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
41,A Pimp Named Slickback,LAKIM,2014,Electronic / Dance,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
42,Who You're Around,Meek Mill feat. Mary J. Blige,2012,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
43,Slow Down,Skip Marley feat. H.E.R.,2019,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
44,Only You Can Tell It,Pusha T feat. Wale,2013,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
45,Louder Than a Bomb,Public Enemy,1988,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
46,Child's Play,Ghostface Killah,2000,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
47,Louder,Big Noyd and Prodigy,2004,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
48,LB,Damu the Fudgemunk,2008,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
49,Whoa Whoa Whoa,Watsky and Mikos,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
50,Big Drip,Fivio Foreign,2019,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
51,Jerome,Lizzo,2019,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
52,On the Regular,Meek Mill,2016,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
53,We Are,Justin Bieber feat. Nas,2015,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
54,Revelations,Mos Def,2009,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
55,Return of the Mecca,Pete Rock & C.L. Smooth,1992,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
56,Human,Rag'n'Bone Man,2016,Rock / Pop,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
57,L.A. To Detroit,Jaylib,2003,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
58,For the Summer,Fabolous,2015,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
59,Ugly People Be Quiet,Cash Money & Marvelous,1988,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
60,Purple Kisses,A$AP Rocky,2012,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
61,New York (Ya Out There?),Rakim,1997,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
62,One by One,Laza Morgan feat. Mavado,2011,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
63,Endangered Species (Tales From the Darkside),Ice Cube feat. Chuck D,1990,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
64,Growin' Up in the Hood,Compton's Most Wanted,1991,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
65,Overload,Sugababes,2000,Rock / Pop,Drums,https://www.whosampled.com/Mountain/Long-Red/
66,Heart Attack (츄),Loona (K-Pop Group),2017,Other,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
67,Put Your Hands Together,Eric B. & Rakim,1988,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
68,Take You There,Pete Rock & C.L. Smooth,1994,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
69,Verbal Clap,De La Soul,2004,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
70,Go Go Gadget,Disiz La Peste feat. Orelsan,2012,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
71,Trust,Fivio Foreign,2020,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
72,Yeah,DJ Krush,1994,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
73,All Night,Xperadó,1997,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
74,Strictly 4 My Jeeps,Action Bronson,2013,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
