,title,artist,year,sample,genre,style
58,For the Summer,Fabolous,2015,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
59,Ugly People Be Quiet,Cash Money & Marvelous,1988,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
60,Purple Kisses,A$AP Rocky,2012,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
61,New York (Ya Out There?),Rakim,1997,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
62,One by One,Laza Morgan feat. Mavado,2011,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
63,Endangered Species (Tales From the Darkside),Ice Cube feat. Chuck D,1990,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
64,Growin' Up in the Hood,Compton's Most Wanted,1991,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
65,Overload,Sugababes,2000,https://www.whosampled.com/Mountain/Long-Red/,Rock / Pop,Drums
66,Heart Attack (츄),Loona (K-Pop Group),2017,https://www.whosampled.com/Mountain/Long-Red/,Other,Vocals / Lyrics
67,Put Your Hands Together,Eric B. & Rakim,1988,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
68,Take You There,Pete Rock & C.L. Smooth,1994,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
69,Verbal Clap,De La Soul,2004,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
70,Go Go Gadget,Disiz La Peste feat. Orelsan,2012,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
71,Trust,Fivio Foreign,2020,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
72,Yeah,DJ Krush,1994,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
73,All Night,Xperadó,1997,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
74,Strictly 4 My Jeeps,Action Bronson,2013,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
75,Show Me the Way,Dilated Peoples feat. Aloe Blacc,2014,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
76,Wussup Wit the Luv,Digital Underground feat. 2Pac,1993,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
77,Trigger Hippie,Morcheeba,1995,https://www.whosampled.com/Mountain/Long-Red/,Rock / Pop,Vocals / Lyrics
78,Words From the Nutcracker,Gang Starr feat. Melachi the Nutcracker,1994,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
79,Drainos,Madvillain,2008,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
80,It's Going Down,EPMD,1992,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
81,Stress,Organized Konfusion,1994,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
82,X (Y'all Know the Name),"X-Ecutioners and Pharoahe Monch feat. Xzibit, Inspectah Deck and Skillz",2002,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Multiple Elements
83,Dolly My Baby (Hip Hop Mix),Super Cat feat. Mary J. Blige,1993,https://www.whosampled.com/Mountain/Long-Red/,Reggae / Dub,Drums
84,Young Niggas,Tory Lanez,2020,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
85,Le Jour Où Tu Partiras,Oxmo Puccino feat. K-reen,1998,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
86,Respect the Architect (Remix),Guru feat. Bahamadia and Ramsey Lewis,1995,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
87,Take Ü There (Vindata Remix),Jack Ü feat. Kiesza,2014,https://www.whosampled.com/Mountain/Long-Red/,Electronic / Dance,Vocals / Lyrics
88,Dolly My Baby (Bad Boy Extended Mix),"Super Cat and Mary J. Blige feat. The Notorious B.I.G., Puff Daddy and 3rd Eye",1993,https://www.whosampled.com/Mountain/Long-Red/,Reggae / Dub,Drums
89,Know No Better,Meek Mill feat. Yo Gotti,2014,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
